type,node_id,parent_id,planet_id,depth,size,x,y,z,image_id
image,,0_node_7,0,,1,-2.0767076,3.5307066,9.347079,7168.jpg
image,,0_node_7,0,,1,-2.078019,3.4937906,9.408793,3768.jpg
image,,0_node_7,0,,1,-2.0513024,3.5831003,9.370504,15992.jpg
image,,0_node_7,0,,1,-2.1553094,3.5041988,9.366492,10185.jpg
image,,0_node_7,0,,1,-2.063423,3.5013473,9.321795,5866.jpg
image,,0_node_7,0,,1,-2.0960813,3.4780514,9.410911,12729.jpg
image,,0_node_7,0,,1,-2.039666,3.5394528,9.284332,17687.jpg
image,,0_node_12,0,,1,-2.176441,4.8375845,8.78269,4327.jpg
image,,0_node_12,0,,1,-2.5050068,5.1715045,8.848071,16692.jpg
image,,0_node_12,0,,1,-2.3305986,5.0115128,8.690939,6364.jpg
image,,0_node_12,0,,1,-2.2246058,5.0748806,8.700231,7154.jpg
image,,0_node_12,0,,1,-2.3510554,5.3831162,8.900763,1782.jpg
image,,0_node_12,0,,1,-2.3347597,4.7876368,8.727664,16557.jpg
image,,0_node_12,0,,1,-2.301857,5.24552,8.907033,12455.jpg
image,,0_node_6,0,,1,-1.7290484,4.4986415,8.922157,15098.jpg
image,,0_node_6,0,,1,-1.5862573,4.3115263,8.571853,4557.jpg
image,,0_node_6,0,,1,-1.6560953,4.3902283,8.705476,5496.jpg
image,,0_node_6,0,,1,-1.7746054,4.345615,9.085461,1905.jpg
image,,0_node_6,0,,1,-1.6323793,4.429958,8.521738,14962.jpg
image,,0_node_6,0,,1,-1.5717425,4.306554,8.594939,6299.jpg
image,,0_node_6,0,,1,-1.684716,4.3709126,8.686573,2089.jpg
image,,0_node_6,0,,1,-1.6586306,4.3859086,8.636213,19862.jpg
image,,0_node_6,0,,1,-1.7522204,4.1928,9.028356,14287.jpg
image,,0_node_6,0,,1,-1.776156,4.3594313,9.15596,37.jpg
image,,0_node_6,0,,1,-1.4709636,4.5105367,8.442012,6848.jpg
image,,0_node_6,0,,1,-1.5420079,4.4505744,8.44005,8336.jpg
image,,0_node_15,0,,1,-1.8366376,4.6623454,9.083411,7241.jpg
image,,0_node_15,0,,1,-1.6539329,5.4312205,8.6153,14227.jpg
image,,0_node_15,0,,1,-1.8038986,5.081297,8.939591,6425.jpg
image,,0_node_15,0,,1,-1.867543,4.7146196,9.08101,8958.jpg
image,,0_node_15,0,,1,-2.18167,5.2321754,9.030197,19516.jpg
image,,0_node_15,0,,1,-1.7484447,4.866462,8.970287,3007.jpg
image,,0_node_15,0,,1,-1.8279902,4.7089877,9.048441,4142.jpg
image,,0_node_15,0,,1,-1.8271694,4.8758903,8.59836,16489.jpg
image,,0_node_15,0,,1,-1.9176012,4.792861,8.928764,9236.jpg
image,,0_node_15,0,,1,-2.3678353,5.37725,8.881693,15567.jpg
image,,0_node_15,0,,1,-2.2346966,5.160854,9.1277275,2.jpg
image,,0_node_15,0,,1,-2.1760736,5.2787347,8.920883,17117.jpg
image,,0_node_15,0,,1,-1.9161086,5.214951,8.947062,7829.jpg
image,,0_node_15,0,,1,-1.7652391,5.192638,8.612265,2804.jpg
