type,node_id,parent_id,planet_id,depth,size,x,y,z,image_id
image,,0_leaf_1,0,2,1,17.423538,7.2379456,0.45128408,13002.jpg
image,,0_leaf_1,0,2,1,16.51337,7.3173814,0.056459375,928.jpg
image,,0_leaf_1,0,2,1,17.47436,7.5405626,0.39081338,16896.jpg
image,,0_leaf_1,0,2,1,17.35265,7.6626616,0.5422573,2942.jpg
image,,0_leaf_1,0,2,1,16.762545,6.994856,-0.055437133,6851.jpg
image,,0_leaf_1,0,2,1,17.806904,7.242941,0.57417023,4001.jpg
image,,0_leaf_1,0,2,1,17.611073,7.488299,0.6117906,15609.jpg
image,,0_leaf_1,0,2,1,16.58446,7.4583154,0.010052519,98.jpg
image,,0_leaf_1,0,2,1,16.55753,7.257077,0.028718654,4313.jpg
image,,0_leaf_1,0,2,1,17.122337,7.4812737,0.2473144,17975.jpg
image,,0_leaf_1,0,2,1,16.747421,7.3878274,-0.04282773,10736.jpg
image,,0_leaf_1,0,2,1,17.467447,7.0108333,0.56971836,1886.jpg
image,,0_leaf_1,0,2,1,16.578829,7.495895,0.31689653,7916.jpg
image,,0_leaf_1,0,2,1,16.614807,7.4049315,0.024700932,11140.jpg
image,,0_leaf_1,0,2,1,17.157629,7.8800726,0.66295,19535.jpg
image,,0_leaf_1,0,2,1,17.260391,7.5477858,1.0498211,4106.jpg
image,,0_leaf_1,0,2,1,17.739023,7.2182903,0.5108831,16188.jpg
image,,0_leaf_1,0,2,1,17.440588,7.642751,0.93842125,9060.jpg
image,,0_leaf_1,0,2,1,17.876,7.2710238,0.49380854,7686.jpg
image,,0_leaf_1,0,2,1,16.336441,7.142778,0.21235941,6258.jpg
image,,0_leaf_1,0,2,1,16.932762,6.9453206,0.08071614,12772.jpg
image,,0_leaf_1,0,2,1,16.998224,7.8115983,0.57279027,19630.jpg
image,,0_leaf_1,0,2,1,16.797401,7.497659,0.023673357,9025.jpg
image,,0_leaf_1,0,2,1,16.640495,7.3877516,0.19274609,6137.jpg
image,,0_leaf_1,0,2,1,17.005339,7.0393887,0.066011585,14269.jpg
image,,0_leaf_1,0,2,1,16.751385,6.6806145,0.20513678,11196.jpg
image,,0_leaf_1,0,2,1,17.648174,7.1950307,0.547401,15982.jpg
image,,0_leaf_1,0,2,1,17.12007,7.324795,0.9973269,13748.jpg
image,,0_leaf_1,0,2,1,17.2332,7.263824,-0.14092506,14502.jpg
image,,0_leaf_1,0,2,1,17.192753,7.226223,0.35412687,3270.jpg
image,,0_leaf_1,0,2,1,17.232632,7.153368,0.22293964,7179.jpg
image,,0_leaf_1,0,2,1,17.109777,7.426311,-0.06712717,4909.jpg
image,,0_leaf_1,0,2,1,17.052303,7.8225346,0.65278786,4738.jpg
image,,0_leaf_1,0,2,1,17.41707,6.8854756,0.17551437,18337.jpg
image,,0_leaf_1,0,2,1,17.337172,7.7986736,0.41198987,5207.jpg
image,,0_leaf_1,0,2,1,16.891249,6.7956495,-0.10930892,2279.jpg
image,,0_leaf_1,0,2,1,17.312523,7.373955,0.9877013,2993.jpg
image,,0_leaf_1,0,2,1,16.474255,7.4752645,0.41970512,5121.jpg
image,,0_leaf_1,0,2,1,17.439112,7.6010547,0.4873374,9246.jpg
image,,0_leaf_1,0,2,1,17.097357,6.86068,0.2625363,10346.jpg
image,,0_leaf_1,0,2,1,16.577602,6.780651,-0.05085252,6836.jpg
image,,0_leaf_1,0,2,1,17.218475,6.7280564,0.25882027,10645.jpg
image,,0_leaf_1,0,2,1,16.943306,6.8753924,-0.10899331,8047.jpg
image,,0_leaf_1,0,2,1,17.178318,7.8281126,0.51698357,19510.jpg
image,,0_leaf_1,0,2,1,17.1451,7.5842915,0.9492973,5912.jpg
image,,0_leaf_1,0,2,1,16.554245,7.3610344,0.19494766,18502.jpg
image,,0_leaf_1,0,2,1,16.734081,6.5420327,0.12692456,16616.jpg
image,,0_leaf_1,0,2,1,16.925312,7.4430814,0.21999918,19202.jpg
image,,0_leaf_1,0,2,1,16.454752,7.0859585,0.06814163,19291.jpg
image,,0_leaf_1,0,2,1,17.62893,7.5940347,0.48489204,11760.jpg
image,,0_leaf_1,0,2,1,16.49955,7.528063,0.038523115,3945.jpg
image,,0_leaf_1,0,2,1,17.027168,7.7618523,0.25630355,5003.jpg
image,,0_leaf_1,0,2,1,17.523796,7.07293,0.30882004,16105.jpg
image,,0_leaf_1,0,2,1,16.459343,6.657314,0.2565149,5729.jpg
image,,0_leaf_1,0,2,1,16.8304,6.987584,0.010752702,8352.jpg
image,,0_leaf_1,0,2,1,17.631342,7.0941267,0.5498303,7363.jpg
image,,0_leaf_1,0,2,1,16.707869,6.5866685,0.10508476,3058.jpg
image,,0_leaf_1,0,2,1,16.80082,6.8186636,-0.024082178,17458.jpg
image,,0_leaf_1,0,2,1,17.668518,7.221658,0.5524401,1115.jpg
image,,0_leaf_1,0,2,1,17.32091,7.507724,0.27196944,12621.jpg
image,,0_leaf_1,0,2,1,17.356293,7.8856554,0.6648602,9078.jpg
image,,0_leaf_1,0,2,1,16.472683,7.185165,-0.06902999,7709.jpg
image,,0_leaf_1,0,2,1,17.185886,7.3788867,0.9929957,2040.jpg
image,,0_leaf_1,0,2,1,17.435913,7.411742,0.37978524,5935.jpg
image,,0_leaf_1,0,2,1,16.989431,6.8449492,0.072197266,10601.jpg
image,,0_leaf_1,0,2,1,17.784792,7.2337117,0.60960245,7140.jpg
image,,0_leaf_1,0,2,1,17.309385,7.708246,0.5797407,5024.jpg
image,,0_leaf_1,0,2,1,17.167374,7.6433787,0.97425574,1235.jpg
image,,0_leaf_1,0,2,1,17.5187,7.697129,0.92098767,10116.jpg
image,,0_leaf_1,0,2,1,17.294363,7.433977,0.4102278,17600.jpg
image,,0_leaf_1,0,2,1,17.11405,7.482672,0.26799583,9808.jpg
image,,0_leaf_1,0,2,1,17.337543,7.4466057,0.41194043,1747.jpg
image,,0_leaf_1,0,2,1,17.835835,7.3545213,0.7694953,814.jpg
image,,0_leaf_1,0,2,1,17.256128,7.4355707,0.3103273,15135.jpg
image,,0_leaf_1,0,2,1,17.332788,7.231656,0.289438,18107.jpg
image,,0_leaf_1,0,2,1,16.568419,6.983612,0.06283869,11931.jpg
image,,0_leaf_1,0,2,1,17.647171,7.5311456,0.81229407,8696.jpg
image,,0_leaf_1,0,2,1,17.493671,7.0586934,0.64666206,11641.jpg
image,,0_leaf_1,0,2,1,17.506838,7.3999686,0.94500893,10341.jpg
image,,0_leaf_1,0,2,1,17.26054,7.417915,-0.099648945,1188.jpg
image,,0_leaf_1,0,2,1,16.298227,7.381395,0.19988912,11228.jpg
image,,0_leaf_1,0,2,1,17.294231,7.8033524,0.72494143,12149.jpg
image,,0_leaf_1,0,2,1,17.111605,7.1589384,0.4739927,14714.jpg
image,,0_leaf_1,0,2,1,17.141493,7.8212543,0.42797053,17336.jpg
image,,0_leaf_1,0,2,1,16.650038,7.251715,-0.1407302,13759.jpg
image,,0_leaf_1,0,2,1,16.67979,7.587634,0.097878456,18137.jpg
image,,0_leaf_1,0,2,1,16.579115,7.422969,0.12984298,5992.jpg
image,,0_leaf_1,0,2,1,16.891151,7.722306,0.0530047,5742.jpg
image,,0_leaf_1,0,2,1,17.335836,7.612526,0.8295676,9214.jpg
image,,0_leaf_1,0,2,1,17.264734,7.0837703,0.34766367,10223.jpg
image,,0_leaf_1,0,2,1,17.676071,7.4996505,0.61846095,10542.jpg
image,,0_leaf_1,0,2,1,17.38847,6.8300586,0.33140832,7932.jpg
image,,0_leaf_1,0,2,1,17.020683,7.6439514,0.04855386,13994.jpg
image,,0_leaf_1,0,2,1,17.776272,7.0180902,0.26582938,11212.jpg
image,,0_leaf_1,0,2,1,17.700872,7.1398983,0.48033863,6687.jpg
image,,0_leaf_1,0,2,1,17.10461,7.8602157,0.4333714,13033.jpg
image,,0_leaf_1,0,2,1,16.70757,7.449692,0.19315559,7617.jpg
image,,0_leaf_1,0,2,1,17.437977,7.6168265,0.9225322,16262.jpg
image,,0_leaf_1,0,2,1,17.194202,7.0845914,0.3621524,3788.jpg
image,,0_leaf_1,0,2,1,16.719141,6.7983737,0.091134496,6035.jpg
image,,0_leaf_1,0,2,1,17.01084,6.8283496,-0.10470454,7123.jpg
image,,0_leaf_1,0,2,1,17.903875,7.280083,0.63073486,16002.jpg
image,,0_leaf_1,0,2,1,16.78871,6.582582,0.09075487,9842.jpg
image,,0_leaf_1,0,2,1,16.922226,7.63511,0.05821061,9223.jpg
image,,0_leaf_1,0,2,1,17.76003,7.159211,0.3702737,2840.jpg
image,,0_leaf_1,0,2,1,17.58715,7.1595325,0.74664223,8850.jpg
image,,0_leaf_1,0,2,1,17.10137,7.659108,0.46177256,5341.jpg
image,,0_leaf_1,0,2,1,16.696117,6.7449694,0.3677686,18674.jpg
image,,0_leaf_1,0,2,1,16.838886,7.6282125,0.08103323,11262.jpg
image,,0_leaf_1,0,2,1,17.344257,7.228797,0.5899512,12644.jpg
image,,0_leaf_1,0,2,1,16.299372,7.3350697,0.25491217,10707.jpg
image,,0_leaf_1,0,2,1,16.466936,7.178206,0.08997074,13363.jpg
image,,0_leaf_1,0,2,1,17.01719,7.292204,0.043266546,1968.jpg
image,,0_leaf_1,0,2,1,17.030663,7.0034904,0.15502635,13666.jpg
image,,0_leaf_1,0,2,1,17.284286,7.5597453,1.0063447,15264.jpg
image,,0_leaf_1,0,2,1,17.374311,7.387596,0.5348475,6324.jpg
image,,0_leaf_1,0,2,1,17.251505,7.822142,0.66884357,16001.jpg
image,,0_leaf_1,0,2,1,16.325787,7.194288,0.15479271,19441.jpg
node,planet_1,root,1,0,611,-1.1470921,10.644193,7.398416,
node,1_leaf_0,planet_1,1,1,139,-0.11810741,11.447748,7.0933385,
image,,1_leaf_0,1,2,1,0.27037168,11.459534,7.525888,5190.jpg
image,,1_leaf_0,1,2,1,0.2882421,11.131322,7.6212983,14300.jpg
image,,1_leaf_0,1,2,1,0.114981554,11.453549,6.9593124,14035.jpg
image,,1_leaf_0,1,2,1,-0.3505376,11.545237,6.587592,11278.jpg
image,,1_leaf_0,1,2,1,-0.47617054,11.29408,6.643581,11941.jpg
image,,1_leaf_0,1,2,1,-0.3094069,11.291108,7.08482,8538.jpg
image,,1_leaf_0,1,2,1,-0.37731636,11.252164,6.8735437,11471.jpg
image,,1_leaf_0,1,2,1,-0.6183671,11.245151,6.6540694,13463.jpg
image,,1_leaf_0,1,2,1,-0.40304917,11.528828,6.4720116,8367.jpg
image,,1_leaf_0,1,2,1,0.23151842,11.269349,7.486708,2790.jpg
image,,1_leaf_0,1,2,1,0.09351908,11.1028,7.5799317,6763.jpg
image,,1_leaf_0,1,2,1,0.24797079,11.5757265,7.456176,2954.jpg
image,,1_leaf_0,1,2,1,0.31412372,11.51932,7.3915987,12973.jpg
image,,1_leaf_0,1,2,1,0.12034784,11.565586,7.468928,17211.jpg
image,,1_leaf_0,1,2,1,-0.02553435,11.503882,7.278118,12942.jpg
image,,1_leaf_0,1,2,1,-0.48574477,11.55745,6.4921846,6871.jpg
image,,1_leaf_0,1,2,1,-0.43292683,11.5217705,6.375662,16289.jpg
image,,1_leaf_0,1,2,1,0.18616006,11.502448,7.063311,14543.jpg
image,,1_leaf_0,1,2,1,0.14654404,11.667844,7.341956,19125.jpg
image,,1_leaf_0,1,2,1,0.20583089,11.188884,7.425465,16199.jpg
image,,1_leaf_0,1,2,1,0.34816998,11.580991,7.6036954,7637.jpg
image,,1_leaf_0,1,2,1,-0.36010048,11.226666,6.826495,1901.jpg
image,,1_leaf_0,1,2,1,0.10184793,11.452872,6.996346,847.jpg
image,,1_leaf_0,1,2,1,0.3717268,11.476262,7.556169,3596.jpg
image,,1_leaf_0,1,2,1,-0.30249348,11.59104,6.5337663,10892.jpg
image,,1_leaf_0,1,2,1,-0.2357709,11.583418,6.5008445,11494.jpg
image,,1_leaf_0,1,2,1,-0.109017484,11.693455,6.8443503,17491.jpg
image,,1_leaf_0,1,2,1,0.18533486,11.361235,7.050657,10306.jpg
image,,1_leaf_0,1,2,1,-0.36821416,11.623979,6.834538,13082.jpg
image,,1_leaf_0,1,2,1,-0.4562274,11.382979,6.5856647,10006.jpg
image,,1_leaf_0,1,2,1,-0.6078122,11.050677,6.834754,7553.jpg
image,,1_leaf_0,1,2,1,0.3875325,11.415393,7.549334,3905.jpg
image,,1_leaf_0,1,2,1,0.3500587,11.569597,7.449996,16234.jpg
image,,1_leaf_0,1,2,1,-0.37887383,11.507024,6.438004,13860.jpg
image,,1_leaf_0,1,2,1,0.24586397,11.439394,7.6628366,12396.jpg
image,,1_leaf_0,1,2,1,-0.10933104,11.332223,7.2686644,12659.jpg
image,,1_leaf_0,1,2,1,-0.4275372,11.434929,6.387844,1630.jpg
image,,1_leaf_0,1,2,1,-0.38206407,11.5231,6.6055036,17330.jpg
image,,1_leaf_0,1,2,1,-0.44663736,11.517964,6.5759516,1009.jpg
image,,1_leaf_0,1,2,1,0.12864602,11.306804,7.2823067,1693.jpg
image,,1_leaf_0,1,2,1,0.27797493,11.279358,7.551281,9757.jpg
image,,1_leaf_0,1,2,1,-0.4515509,11.419923,7.4590335,16579.jpg
image,,1_leaf_0,1,2,1,-0.16672124,11.6064825,6.532617,19896.jpg
image,,1_leaf_0,1,2,1,-0.6389178,11.573636,6.875997,9862.jpg
image,,1_leaf_0,1,2,1,0.17560996,11.459231,7.347845,18546.jpg
image,,1_leaf_0,1,2,1,-0.776646,11.200909,7.0261374,14439.jpg
image,,1_leaf_0,1,2,1,0.21941239,11.348663,7.3097525,12273.jpg
image,,1_leaf_0,1,2,1,-0.91758925,11.488601,7.1132464,12426.jpg
image,,1_leaf_0,1,2,1,0.3750181,11.377583,7.4635544,18922.jpg
image,,1_leaf_0,1,2,1,-0.733589,11.590359,7.1303005,9680.jpg
image,,1_leaf_0,1,2,1,-0.22979629,11.414483,7.1215577,12996.jpg
image,,1_leaf_0,1,2,1,0.3927578,11.502313,7.499702,14799.jpg
image,,1_leaf_0,1,2,1,0.3167101,11.252002,7.5882626,14837.jpg
image,,1_leaf_0,1,2,1,-0.118521154,11.591512,6.9030437,11307.jpg
image,,1_leaf_0,1,2,1,0.2853157,11.705769,7.354373,4667.jpg
image,,1_leaf_0,1,2,1,-0.43947572,11.438693,6.445009,321.jpg
image,,1_leaf_0,1,2,1,0.18836609,11.393699,7.342294,2643.jpg
image,,1_leaf_0,1,2,1,0.2891717,11.405825,7.307487,7291.jpg
image,,1_leaf_0,1,2,1,-0.9040225,11.578473,7.1810846,8604.jpg
image,,1_leaf_0,1,2,1,-0.123818584,11.629424,6.8430233,12494.jpg
image,,1_leaf_0,1,2,1,0.065623246,11.327176,7.372632,1064.jpg
image,,1_leaf_0,1,2,1,-0.31374118,11.589549,6.954988,10921.jpg
image,,1_leaf_0,1,2,1,0.10511613,11.437158,7.2196383,2369.jpg
image,,1_leaf_0,1,2,1,-0.5090914,11.552312,6.88076,5170.jpg
image,,1_leaf_0,1,2,1,-0.2604517,11.5752945,6.5620174,15877.jpg
image,,1_leaf_0,1,2,1,-0.34710687,11.582607,6.477057,13276.jpg
image,,1_leaf_0,1,2,1,-0.08200739,11.074527,7.644416,2495.jpg
image,,1_leaf_0,1,2,1,0.1111834,11.453162,7.0808187,18592.jpg
image,,1_leaf_0,1,2,1,-0.88912785,11.50741,7.1121154,13629.jpg
image,,1_leaf_0,1,2,1,-0.7999615,11.448444,7.0454803,15176.jpg
image,,1_leaf_0,1,2,1,0.27356273,11.371776,7.631255,6685.jpg
image,,1_leaf_0,1,2,1,0.056025818,11.325057,7.255818,12770.jpg
image,,1_leaf_0,1,2,1,0.060905833,11.350949,7.3482065,4796.jpg
image,,1_leaf_0,1,2,1,-0.6535348,11.586106,6.9399056,17345.jpg
image,,1_leaf_0,1,2,1,-0.8011443,11.624025,7.3747215,12602.jpg
image,,1_leaf_0,1,2,1,-0.36024693,11.12624,7.085552,1395.jpg
image,,1_leaf_0,1,2,1,-0.4203582,11.596973,6.4420066,10672.jpg
image,,1_leaf_0,1,2,1,-0.4396561,11.551074,6.8758917,904.jpg
image,,1_leaf_0,1,2,1,0.39058137,11.49793,7.3066993,6961.jpg
image,,1_leaf_0,1,2,1,-0.796372,11.502287,6.769189,13702.jpg
image,,1_leaf_0,1,2,1,-0.10713384,11.575277,6.658027,3572.jpg
image,,1_leaf_0,1,2,1,-0.53050536,11.256638,6.948898,16059.jpg
image,,1_leaf_0,1,2,1,0.08142733,11.352825,7.342783,19996.jpg
image,,1_leaf_0,1,2,1,0.07725904,11.264038,7.4233685,6710.jpg
image,,1_leaf_0,1,2,1,0.47086787,11.46142,7.567182,8788.jpg
image,,1_leaf_0,1,2,1,0.23809138,11.451501,7.1129494,13008.jpg
image,,1_leaf_0,1,2,1,-0.68931794,11.525941,6.505909,19816.jpg
image,,1_leaf_0,1,2,1,-0.8664832,11.581931,7.063725,11249.jpg
image,,1_leaf_0,1,2,1,-0.027299695,11.197301,7.6258397,3813.jpg
image,,1_leaf_0,1,2,1,-0.6871286,11.611561,6.8810005,12736.jpg
image,,1_leaf_0,1,2,1,0.2881424,11.243843,7.1565022,864.jpg
image,,1_leaf_0,1,2,1,-0.26168588,11.547379,6.7308245,6884.jpg
image,,1_leaf_0,1,2,1,0.3819886,11.546786,7.483889,15141.jpg
image,,1_leaf_0,1,2,1,-0.16270386,11.216835,7.143661,10210.jpg
image,,1_leaf_0,1,2,1,0.057038046,11.221072,7.401076,6123.jpg
image,,1_leaf_0,1,2,1,-0.5437283,11.669484,6.981105,3888.jpg
image,,1_leaf_0,1,2,1,-0.39384004,11.521081,6.986605,1955.jpg
image,,1_leaf_0,1,2,1,0.40378577,11.456564,7.572029,10798.jpg
image,,1_leaf_0,1,2,1,0.082205094,11.525365,7.005625,6935.jpg
image,,1_leaf_0,1,2,1,0.15858562,11.203294,7.462431,139.jpg
image,,1_leaf_0,1,2,1,-0.46630815,11.567053,6.594666,18056.jpg
image,,1_leaf_0,1,2,1,-0.28943512,11.239759,7.1075325,5313.jpg
image,,1_leaf_0,1,2,1,-0.20037055,11.651439,6.7869434,8132.jpg
image,,1_leaf_0,1,2,1,0.20548613,11.634721,7.4952736,4079.jpg
image,,1_leaf_0,1,2,1,0.41035557,11.518624,7.3713326,7292.jpg
image,,1_leaf_0,1,2,1,-0.4096986,11.479489,6.7612495,11011.jpg
image,,1_leaf_0,1,2,1,-0.04871612,11.402396,6.812676,4161.jpg
image,,1_leaf_0,1,2,1,-0.022333913,11.5126,7.1909366,16272.jpg
image,,1_leaf_0,1,2,1,0.21984293,11.496439,6.9926944,7730.jpg
image,,1_leaf_0,1,2,1,-0.38600257,11.62534,6.4533443,15514.jpg
image,,1_leaf_0,1,2,1,0.3812399,11.525461,7.4562697,10374.jpg
image,,1_leaf_0,1,2,1,0.14149857,11.0537405,7.662446,1501.jpg
image,,1_leaf_0,1,2,1,0.15361203,11.4358225,7.19495,7076.jpg
image,,1_leaf_0,1,2,1,0.35330185,11.565885,7.348224,15988.jpg
image,,1_leaf_0,1,2,1,0.12541905,11.284018,7.3797903,1332.jpg
image,,1_leaf_0,1,2,1,-0.18971077,11.612994,6.7634206,1231.jpg
image,,1_leaf_0,1,2,1,-0.18308009,11.270772,7.196189,3359.jpg
image,,1_leaf_0,1,2,1,-0.2236803,11.202539,7.319619,4797.jpg
image,,1_leaf_0,1,2,1,-0.44106993,11.673067,7.0902214,16346.jpg
image,,1_leaf_0,1,2,1,0.26964447,11.374181,7.5511694,14952.jpg
image,,1_leaf_0,1,2,1,0.41421193,11.427161,7.402584,19078.jpg
image,,1_leaf_0,1,2,1,-0.7809091,11.498259,7.166098,2633.jpg
image,,1_leaf_0,1,2,1,-0.4411063,11.551732,6.561475,1623.jpg
image,,1_leaf_0,1,2,1,-0.40488786,11.359218,6.5269556,7382.jpg
